482450AF4BF0A3EB8430CF736839ECB72642B17857C75FAA777F02E3F24756EF 1045 467 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
3CC340C6E608ADF0F5DCA08237C53545B8D3A19ACB3618514B25C713A1BAD471 20829 7339 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
708DC3CD789B6F6775805377A4C3E73E2A3496E5D44974246A6FB4D522E03FB4 18533 6184 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
709F715592C5EC5D6C71DD0AC05589ED2A5F22825B3B03A48A5D978748E4A0AE 1045 467 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
70B1BCB21152EC536A1CD030E4B25019A4333DF87060C10003991645C18CC6CC 4245 260 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
70CBED113A77796DC3315D254F55FCCF1907B348EF126C262246C5F15D279006 1045 467 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
70CC76AF0C5E27CB9C71DAD70D57C10BB9A31A509D3EAC166E28E37FB85B6D66 12085 3477 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
70CCF6A7D3225C1AD366F896B13577F5C432638C6A9958009C1AA924566B9FFF 782 139 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
70CD1C47E8B939B2E54C3C0F2AE44DF4D321C1B9E391038758589D160ED34B83 6512 1458 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
70CF139B319636674F704285A31233EF586B51376EAD200D3462AC2BE3907D0E 15737 5158 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
70DDAF6F47F7E22BC94BEDAADEF655FE5737E3EF7C1CD01C9323614F927D2E3D 11053 2995 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
D316E67450AEE582A0F04BFF505BEF99E3867AF65DBCBEA42CCE9DC8F3F67C3D 3156 190 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
D3220EB9BF7BABC17ACA740DF94EE15231D0BC77B3CBDC6EA965DE117797CC19 1045 467 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
D3578917B30714EEE607A1CF95866CC958A6F48B828D7D51D627795A3761D66F 12213 3792 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
D35B9BE70889C4C508161751D669946B86E2BCF00A958574BD83F328438D85EB 10636 2932 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
D37BF79D09E72D57943A25C1679FE61405C8EA2C8803E4318E582D9894EC3F0C 10819 3115 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
D3836C0D3CBF4180A8C812047C0F6C212AFF42815D0A8D2FEBA1516217DB4EB7 6314 2649 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
D3B79667273C836D76DDC3B65C25D4DAB13ED7E2A16986D5D673D61B8B662F47 2653 162 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
D3C66159EBB297AACF76A6FF0273EB6C1C28E0A62B4667B0D94BA7541A16F756 3230 296 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
D3E74CADBD71AA6B8D92E59E13F56FF08A2492667DCFDDA71626DAD24B8B0267 1045 467 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
D3E954E2D9641199F06919B16E2D10F55CEB0AD554DA3290B2E63FA2227E3579 526 98 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
00E01EBE3F22E3E76A89A01FB1AA9C5BD058273B37F90F1D8E97BF88460F3B08 743 132 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
0144E6B079FD795FFBB0FA22BA6920686727ACE1C489DFA581D8F979799BFC1A 4371 260 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
01E1A9D44B79B56DA81568C0B929366CE96EE1A52FDB1770D28BD78F9F3CA27A 18539 6190 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
02DFC8A0030941D553C09344F4BC2DC7CB5F129F0D807E5781625586F84BC3E6 1045 467 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
036DF7F8155C8D8FC8D13418BA23C99C223503B02873D2B15F5DD76CBC613905 21494 8391 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
04134BD9B120337E83826561C45201C8F3D869D69B7B4289401BD67000CD8242 713 126 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
04B6DF0A3BBD3B96EFF440BE0FE620B972797FA6C115B3E01D889BE035AE7F1F 1943 511 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
1A9D710E75C6339BB2F0789D2D4E634A06377A6804FD0F37AD55D243F82992E4 21146 7618 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
1AC20AE3C5CE7644AFF56DB2680C9D2915CC0BF9422B830570A61FA2DE07CD13 12332 3914 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
1AD6B07CD7183CD7147761E73CF7746BA7B1D3545F16960CFC399D451A6F1CCD 3424 307 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
1AF8C89EA9B7B694ED783B933E1249F9B5E148448C709C7F3C0721128E86E075 18539 6190 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
1B1DB9D631E0A854CB58724081531F949D4ADB731BD47C8712D1C9915ABD8D7D 10174 2821 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
1B1DCB30B10BB198182861AC1ECC172F9B601F5B94A010714EBEB39A8B191DFC 12444 4023 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
1B1E15982ECB388E01F5DC9D837E8079ADEBE31D3BB578D444A366288EA4F4A4 14758 4918 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
89691275D910CC00D1CF0894A2E2210A9C71CF3F0DF795D78EB13E022326CCDF 11120 3046 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
897C86B92E489E65826A73EF078B8E4AD762B535E55960D58CD2C4925FD8B49D 11459 3400 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
8980CD6EB1BDC44344C1BD4A13F268B1C23F6FACB4B630E3EB1322358BFDF476 10966 2908 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
8982B8E98E71F241F57B9BEA477EDD14E8A1246C2BC4ABFDC4843FFA7DCE78EB 1052 474 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
898AE93BC082E857E00CADCEA57ED56A6979BA252ED7E359FADB3A6ED92C490A 24736 9158 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
8991A97B343C085344EDCBD56543596A777DF091DD81C33D0ADB1A3A906B99D2 18542 6193 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
899201A93E092CDA0EBBC18441BF8A563B5FBD1C5D18AE2ACF862FA218889983 581 171 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
899212EC8D5068C27EC8600025F732963C0544E603513D174F869CB01BA405DE 2239 120 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
8995C98C2F775EDAF2D3F0689A972BDCBB22C2FA6D711D4F0CC742313D47ECD8 12640 3867 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
899D181C02F45907A507AF9E6B1C2A38BA85FBB019586AA90E17A851E4C96708 11111 3041 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
89C2004848BC998EC7E61514161C1910F2F6952D95D56D6EE7B89C53589DF3E6 19805 6995 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
89C3FBF456539B8F428F2222569CFC29A07FDE9CA99FBABD60F48B4CBDC094C3 733 130 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
89C90540DEFB6A3B6DE911DEAC446FBFBC8A3300DCF01F85111110BCC0861D89 14511 4276 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
482ABFABA1850DFEE0DD6B91E653F237B6C64081865B880BDE6AF683E4DC3D69 13014 3654 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
482E8DBC7F5B27B4497EF22EB07DFC84531957FF369AE0BA1FC175C549C7AD58 12739 3615 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
483A306A2A847A88633057CACF994057BD8E9B4A877C9212BDD91BA961378FDE 11095 3040 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
483A8A7E840CD9768C515EC2D629F1EB3809B4E202E5036626F529BF8B8A2D03 4041 2015 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
484F4EF9DFC850ED26E57A8732D2F8B176BD1913B89B53641B33E4C0176151E9 788 141 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
48867A9E9319A745A8D71B074EAA97B21C98ED62B30388CC979ED2D3B19FA13D 17016 5580 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
488F2979E54D0AC66E7CBC43FA7C158FFAC3CFE552DAC4B385353C4932FDFA99 1045 467 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
489266291574E418B8CB9DE026ACF1F002FBDA5D90081B2E501A07B52B63C5EA 12210 3590 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
48983C16EEAF7D3AE60C9B2AA1FEE0935110CFFFA74A53E022511BE9319ACBD7 737 130 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
48A27B733C762BC89E8219AB27DAAF66A58FBA2B3BBC473C210E7B95204405BE 20156 5973 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
48A2C50F6BA78434CFC1F8451145539BC2EE7CBF60C8CA72F15509D7545C3D72 12882 4110 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
48A5C586DBF3B4222D752B7EBDCFE814EFAA7EC6438CD419606965D33D8A78AB 18543 6194 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
BFF038DF907E80B61E9045B97F34BA44D0EA02A888424DEB8AC18ECD1E2F1103 11481 3216 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
C0030272FD8A3E51818BA2909BF971A096B6F1656E53929A4A7C640B105F9EEE 13337 3961 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
C00F1729BD96DD9A6397A474C94DBFADE8EE1225DEE74F51E66F4DAF240EC93D 4371 260 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
C013DAF706A3CD9135F8BC42781E2A16BEF0BB3E84AAD9F6C646C4C5A6A99D19 982 524 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
C02C3023A7E37AADD0C5D481ECC9E066A77339062DB2B0A26E72FD39CB4C2330 750 162 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
C05A8AB208379FD9C639A2BCCBD2FE50760896A7E3807E3D6BBC730CBD23F846 18542 6193 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
C06BC5A1EAC68A460309C66DCCF40AC5E88BFDE370A6C2545049930F69C44CE1 17913 14960 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
C0786C2ED4D56F27DAE5449FB2C4B14407F7C9CE60F9B8C1EA3951BD5A4EC9AD 10979 2909 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
10178BB2CD22C34CFCB739D70DE7DC9D2A6118B072A4B21A9CCD99105C58D222 3457 1667 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
101E3AFE2B3A652787BDB13190640FB6B8E464CDEC28B87FD0553F93EA6A8644 11308 3238 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
102F1A1441AF1F252EFA84DA4DA24D8F3668E494D687F670AEFE9E24C46321ED 1052 474 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
1031030C35CCB693F470025B657EAB0F6F7BE71F2E3D74637284DE60E9F2108F 11208 3138 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
103533018813CC04047A2ED4BF16FD689F333192EAD84FE2AE35E0E5E4BDAC6A 1804 25 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
10385CB2FDE59607F5510CAA8FFA084F7C00883C00D45BD730AE659E3F660E3B 11758 3478 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
1049D870489C09356F386E8A437713DF4989942D24D2317903BF5EEE56AABB1A 4233 793 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
105332BD5905687C6FA6F6610762E3B19C56BB08260D4C10333C1F3A901FCFD2 14035 4149 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
105400B8CA36590DF0B471B5508DC02C7EA49A312847D53A4F7D77AB6239AE67 11785 4081 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
1058A5A62FC647B110E7BBC742D57F2B8A5EC7EDF898F1084E28A67C3840E0FE 12033 3413 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
9596EB4D5FCDDD51D4B06C5C922BAE7F560C8F0220192DCC4FBFC443239088F8 738 131 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
95B9FB4A548CF2CB535E59AEF00C452AF18F12295F4A43A0EFB702126AFB1F6B 19735 6661 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
95BF3A0C67D0C9C374EE25CECB44D265B587F2B54A5182031D20C4E7CA739A15 11174 3116 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
95C9103F6BE52E3A7C2FAAF453B3939732464380A1D8BF054B5AB6F29F0A8D14 10063 2702 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
95CF52F0719A4EB176A79D7005BE009C47226183EF323F5F7BBD13CB1E9BD126 14224 5849 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
95D27B0FCE0C7411750C31B502A4EDD2A5EE05089BC95F2E90A4DCEFC1C35629 10638 2934 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
95D3D9B116C6C4B9AACE97D3C36DA30468E2828F7427B6B22B79C838E41F4E70 11088 3029 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
95E566A97DE9E2BA2ADFEB8815C52D69289D1AA148B1262B5B8E136C7BA693BB 21708 9035 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
95E7DE17DB90D8AE526AB6A088D4B1C149A45109B63142770BC07EFF3B88D63C 11309 3254 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
95EDD30374617790C62B8C5BFC22831C2EC78D7D379982EAA42FB1B9C598F862 11115 3045 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
96089C027DC057BE64BA816037157EF9002F5E0C26297F12E57112A2C34A7807 4142 2072 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
96161FDC97B47425544A6D5CE96936ACE0298150404CA1D2467D8219105F3075 3934 1962 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
96264EA3A88330334098062358DE94F57004643B97F7842DD55A0FBAD0058217 11132 3058 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
EAF3C295610B6B28E401138C8A97334C87BA1481CDAC17870CE71936EE1EC4A5 700 340 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
EB191662D34EC57AADFD449056F95C5BBBE4ED054AE72FC4077E7B2CA4ADEA19 11462 3403 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
EB23125A384A7319417FB48BAC95E0B4F2DEBA3A7B7665896FC5B9620377B905 11960 3535 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
EB4053D0D0F2702D5FF45716CDE7BDC52E0F42480BE2C427F7EE24D7B2DA0E88 11645 3563 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
EB45F4EBEFAD3E7331FE576363A5ADB1BC7A933105BC145C5567DD7FFF4A4494 11999 3562 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
EB82FD25FF23A86F9B637BDBC9F94167AA02D04280F6F00BC0ECA6EEE7BE25CE 12025 3253 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
EB89A3AF8DAD6FA70B432590E2FF713CFB9D1272F581ADEB142EE0F6F8B575CA 11119 3045 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
EB92ADFA66BF8EBDC79F62CD99FDC7B31328185FD49FD774ECAFC03935644564 21223 7676 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
2F980370ED078C9DF0775515B25BEC346B222CBDE10A6DF12CBA4F6B18712062 22820 7776 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
2FBE1CA31917C9B324E840FE14B892B504CB37EA596E0E863B757F8061E32177 13592 4438 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
2FD22EB47CCC8A4CDCAD492C12AF4479F8DC8EBAA3BCCB6C4A73130ADED81709 718 127 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
2FD2807F36A5E5C9EC7DF5C7CF63698DC428C97737CC12651361A7BC6FB0E258 722 167 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
2FD31E382267958E4880EC86D4E9B46781BC3A2BB24F50A6C7BE6BD1F7A2DB22 2214 212 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
2FDA5D3F9E3A49FC8A88BA5127DCF712D8D951F73ED2985088EAF16D60E06952 1045 467 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
2FF3C7DD5144118033D6D6C5C92D09FCE7D52DA9FD963BDC701F7B80C4E90C24 12089 3317 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
2FF55C5115A45D46AC00BBB70DCB8CFB75337EA9A16B256FC3BBCF2B0074E582 11493 3434 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
2FF6C0A02E7186278E84B9BEFC233E61B87302D872399B721B6574BAC0DE8BAD 22422 9479 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
3021B6D876F6314ADEC528B0BB6A12EE82EE4C09401BDB351377118E9488E1B8 23583 8119 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
302ECF1BC651384C7987528B584F6844FBD2C9A40BE736B44490F0B6C009B1AE 11965 3540 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
60662099F3242AB36965D8CDA901F94C48D95F6AB30CFCF92D883DF1C518B427 19556 6844 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
